variant,dataset,lookback,horizon,seed,test_mse,test_mae,val_mse,params,epochs_run
A2_fixedMA,ETTm2,336,96,2023,0.164901,0.253339,0.116590,64995,7
A3_K1_arevin,ETTm2,336,96,2021,0.165826,0.255319,0.117575,32643,9
A3_K1_arevin,ETTm2,336,96,2022,0.165810,0.255188,0.117561,32643,10
A3_K1_arevin,ETTm2,336,96,2023,0.165737,0.255290,0.117688,32643,14
A4_K1_revin,ETTm2,336,96,2021,0.165846,0.255342,0.117591,32354,9
A4_K1_revin,ETTm2,336,96,2022,0.165829,0.255214,0.117580,32354,10
A4_K1_revin,ETTm2,336,96,2023,0.165756,0.255315,0.117708,32354,14
A5_K3,ETTm2,336,96,2021,0.164485,0.253412,0.116526,97351,10
A5_K3,ETTm2,336,96,2022,0.165223,0.253859,0.116496,97351,9
A5_K3,ETTm2,336,96,2023,0.164701,0.252548,0.116265,97351,7
A5_K4,ETTm2,336,96,2021,0.164789,0.253076,0.116407,129705,7
A5_K4,ETTm2,336,96,2022,0.165325,0.254524,0.116676,129705,7
A5_K4,ETTm2,336,96,2023,0.164159,0.252690,0.116223,129705,8
A6_gate,ETTm2,336,96,2021,0.164354,0.253195,0.116174,64999,9
A6_gate,ETTm2,336,96,2022,0.163868,0.252704,0.116064,64999,7
A6_gate,ETTm2,336,96,2023,0.164106,0.253274,0.116196,64999,6
A7_frozen,ETTm2,336,96,2021,0.164264,0.252944,0.116350,64995,9
A7_frozen,ETTm2,336,96,2022,0.163249,0.252266,0.116055,64995,7
A7_frozen,ETTm2,336,96,2023,0.164606,0.253013,0.116260,64995,7
A8_no_lambda,ETTm2,336,96,2021,0.164283,0.252969,0.116362,64901,9
A8_no_lambda,ETTm2,336,96,2022,0.163273,0.252292,0.116072,64901,7
A8_no_lambda,ETTm2,336,96,2023,0.164622,0.253035,0.116274,64901,7
A0_full,ETTm2,336,720,2021,0.369540,0.383642,0.264847,487445,5
A0_full,ETTm2,336,720,2022,0.367055,0.382193,0.264825,487445,10
A0_full,ETTm2,336,720,2023,0.367314,0.382005,0.264744,487445,7
A1_revin,ETTm2,336,720,2021,0.369622,0.383709,0.264866,485284,5
A1_revin,ETTm2,336,720,2022,0.367059,0.382195,0.264829,485284,10
A1_revin,ETTm2,336,720,2023,0.367328,0.382006,0.264752,485284,7
A2_fixedMA,ETTm2,336,720,2021,0.367928,0.382955,0.264800,487443,9
A2_fixedMA,ETTm2,336,720,2022,0.367238,0.382453,0.265029,487443,10
A2_fixedMA,ETTm2,336,720,2023,0.367577,0.382311,0.265025,487443,7
A3_K1_arevin,ETTm2,336,720,2021,0.368709,0.384125,0.266198,244803,11
A3_K1_arevin,ETTm2,336,720,2022,0.369002,0.384262,0.266104,244803,9
A3_K1_arevin,ETTm2,336,720,2023,0.368753,0.384122,0.266243,244803,10
A4_K1_revin,ETTm2,336,720,2021,0.368788,0.384203,0.266264,242642,11
A4_K1_revin,ETTm2,336,720,2022,0.369086,0.384338,0.266166,242642,9
A4_K1_revin,ETTm2,336,720,2023,0.368830,0.384199,0.266310,242642,10
A5_K3,ETTm2,336,720,2021,0.366989,0.381604,0.264650,730087,8
A5_K3,ETTm2,336,720,2022,0.367734,0.383018,0.264684,730087,7
A5_K3,ETTm2,336,720,2023,0.367523,0.382564,0.264842,730087,8
A5_K4,ETTm2,336,720,2021,0.372077,0.384064,0.266224,972729,4
A5_K4,ETTm2,336,720,2022,0.367162,0.382198,0.264736,972729,8
A5_K4,ETTm2,336,720,2023,0.368339,0.383209,0.264520,972729,5
A6_gate,ETTm2,336,720,2021,0.367869,0.382305,0.264590,487447,5
A6_gate,ETTm2,336,720,2022,0.371151,0.385407,0.264249,487447,4
A6_gate,ETTm2,336,720,2023,0.370329,0.384677,0.264458,487447,4
A7_frozen,ETTm2,336,720,2021,0.369527,0.383622,0.264821,487443,5
A7_frozen,ETTm2,336,720,2022,0.367025,0.382158,0.264797,487443,10
A7_frozen,ETTm2,336,720,2023,0.367282,0.381965,0.264713,487443,7
A8_no_lambda,ETTm2,336,720,2021,0.369540,0.383642,0.264846,486725,5
A8_no_lambda,ETTm2,336,720,2022,0.367055,0.382193,0.264825,486725,10
A8_no_lambda,ETTm2,336,720,2023,0.367314,0.382005,0.264744,486725,7
A0_full,weather,336,96,2021,0.174404,0.224073,0.436871,64997,12
A0_full,weather,336,96,2022,0.173878,0.223658,0.436608,64997,8
A0_full,weather,336,96,2023,0.174024,0.223188,0.436156,64997,8
A1_revin,weather,336,96,2021,0.174401,0.224068,0.436867,64708,12
A1_revin,weather,336,96,2022,0.173874,0.223655,0.436610,64708,8
A1_revin,weather,336,96,2023,0.174022,0.223182,0.436152,64708,8
A2_fixedMA,weather,336,96,2021,0.174242,0.223745,0.436463,64995,12
A2_fixedMA,weather,336,96,2022,0.173885,0.223415,0.436290,64995,10
A2_fixedMA,weather,336,96,2023,0.173774,0.222716,0.435695,64995,8
A3_K1_arevin,weather,336,96,2021,0.174273,0.223919,0.436713,32643,11
A3_K1_arevin,weather,336,96,2022,0.174461,0.224170,0.436987,32643,12
A3_K1_arevin,weather,336,96,2023,0.175234,0.224996,0.436816,32643,8
A4_K1_revin,weather,336,96,2021,0.174266,0.223910,0.436699,32354,11
A4_K1_revin,weather,336,96,2022,0.174454,0.224161,0.436977,32354,12
A4_K1_revin,weather,336,96,2023,0.175233,0.224991,0.436811,32354,8
A5_K3,weather,336,96,2021,0.173925,0.223912,0.436441,97351,8
A5_K3,weather,336,96,2022,0.174354,0.224109,0.436586,97351,10
A5_K3,weather,336,96,2023,0.173966,0.223790,0.435919,97351,7
A5_K4,weather,336,96,2021,0.173673,0.223965,0.436557,129705,7
A5_K4,weather,336,96,2022,0.174661,0.223957,0.435794,129705,7
A5_K4,weather,336,96,2023,0.174545,0.224186,0.436502,129705,10
A6_gate,weather,336,96,2021,0.175897,0.226365,0.437261,64999,6
A6_gate,weather,336,96,2022,0.174289,0.224133,0.437028,64999,8
A6_gate,weather,336,96,2023,0.174315,0.223819,0.436789,64999,8
A7_frozen,weather,336,96,2021,0.174390,0.224053,0.436827,64995,12
A7_frozen,weather,336,96,2022,0.173870,0.223650,0.436591,64995,8
A7_frozen,weather,336,96,2023,0.174014,0.223172,0.436117,64995,8
A8_no_lambda,weather,336,96,2021,0.174404,0.224073,0.436871,64901,12
A8_no_lambda,weather,336,96,2022,0.173877,0.223658,0.436608,64901,8
A8_no_lambda,weather,336,96,2023,0.174024,0.223188,0.436156,64901,8
A0_full,weather,336,720,2021,0.333307,0.342047,0.681379,487445,13
A0_full,weather,336,720,2022,0.333721,0.342520,0.681302,487445,9
A0_full,weather,336,720,2023,0.333165,0.341926,0.681017,487445,10
A1_revin,weather,336,720,2021,0.333306,0.342046,0.681379,485284,13
A1_revin,weather,336,720,2022,0.333726,0.342526,0.681304,485284,9
A1_revin,weather,336,720,2023,0.333163,0.341924,0.681012,485284,10
A2_fixedMA,weather,336,720,2021,0.333293,0.342029,0.681339,487443,13
A2_fixedMA,weather,336,720,2022,0.333757,0.342547,0.681271,487443,9
A2_fixedMA,weather,336,720,2023,0.333173,0.341926,0.680953,487443,10
A3_K1_arevin,weather,336,720,2021,0.333242,0.342012,0.681018,244803,10
A3_K1_arevin,weather,336,720,2022,0.333213,0.342000,0.681389,244803,10
A3_K1_arevin,weather,336,720,2023,0.333854,0.342691,0.681030,244803,8
A4_K1_revin,weather,336,720,2021,0.333236,0.342009,0.681010,242642,10
A4_K1_revin,weather,336,720,2022,0.333210,0.341998,0.681390,242642,10
A4_K1_revin,weather,336,720,2023,0.333856,0.342694,0.681021,242642,8
A5_K3,weather,336,720,2021,0.333228,0.341968,0.681019,730087,10
A5_K3,weather,336,720,2022,0.333367,0.342124,0.681045,730087,9
A5_K3,weather,336,720,2023,0.332733,0.341995,0.680775,730087,6
A5_K4,weather,336,720,2021,0.333204,0.341998,0.681271,972729,8
A5_K4,weather,336,720,2022,0.333292,0.342031,0.681371,972729,14
A5_K4,weather,336,720,2023,0.333251,0.342030,0.681226,972729,10
A6_gate,weather,336,720,2021,0.333411,0.342141,0.681411,487447,10
A6_gate,weather,336,720,2022,0.333546,0.342307,0.681303,487447,9
A6_gate,weather,336,720,2023,0.333665,0.342399,0.681181,487447,8
A7_frozen,weather,336,720,2021,0.333305,0.342046,0.681371,487443,13
A7_frozen,weather,336,720,2022,0.333726,0.342525,0.681296,487443,9
A7_frozen,weather,336,720,2023,0.333163,0.341924,0.681005,487443,10
A8_no_lambda,weather,336,720,2021,0.333307,0.342047,0.681379,486725,13
A8_no_lambda,weather,336,720,2022,0.333721,0.342520,0.681302,486725,9
A8_no_lambda,weather,336,720,2023,0.333165,0.341926,0.681017,486725,10
