model,dataset,lookback,horizon,mse_mean,mse_std,mae_mean,mae_std,params,flops,sec_per_epoch,peak_mem,n_seeds
dlinear,ETTh1,96,96,0.39044433333333334,0.0031600785327794527,0.4040973333333333,0.004577530484151182,18624,36864,0.7010666666666667,69.5,3
dlinear,ETTh1,96,192,0.4397436666666667,0.003007283547212234,0.433792,0.0037794385826468726,37248,73728,0.8674,70.4,3
dlinear,ETTh1,96,336,0.4871433333333333,0.0035535904847538665,0.4640056666666667,0.0038637066831390425,65184,129024,0.9428666666666666,71.7,3
dlinear,ETTh1,96,720,0.5096746666666666,0.002429106900351086,0.505302,0.0019420576716462899,139680,276480,0.8540666666666666,75.3,3
dlinear,ETTh1,336,96,0.3756916666666667,0.0011497314179117527,0.39790600000000004,0.0015645897225790633,64704,129024,1.3833000000000002,71.3,3
dlinear,ETTh1,336,192,0.41759033333333334,0.008506436053561633,0.4277243333333334,0.009055456495027344,129408,258048,0.7646333333333333,72.9,3
dlinear,ETTh1,336,336,0.45300500000000005,0.011363359670449576,0.4536086666666666,0.010513548608026361,226464,451584,0.9202,75.4,3
dlinear,ETTh1,336,720,0.4877816666666666,0.015935786184977933,0.5011886666666667,0.012348947903903958,485280,967680,0.9583666666666667,81.9,3
dlinear,ETTh2,96,96,0.32743066666666665,0.0015042623884593143,0.38212599999999997,0.002615695509802323,18624,36864,0.8732333333333333,69.5,3
dlinear,ETTh2,96,192,0.4500786666666667,0.004557868068881913,0.4571523333333333,0.002621153626427362,37248,73728,0.8255333333333333,70.4,3
dlinear,ETTh2,96,336,0.5669176666666667,0.009667555654524807,0.527287,0.0048712157620043875,65184,129024,0.8309333333333333,71.7,3
dlinear,ETTh2,96,720,0.7810746666666667,0.02677891038360846,0.635462,0.011821774105437837,139680,276480,0.8825,75.3,3
dlinear,ETTh2,336,96,0.285134,0.0027249416507514512,0.34950533333333333,0.002976354201591837,64704,129024,0.8161333333333333,71.3,3
dlinear,ETTh2,336,192,0.3852866666666667,0.008512457361616188,0.41980633333333334,0.005438554066416315,129408,258048,0.9279333333333334,72.9,3
dlinear,ETTh2,336,336,0.45673666666666674,0.0065889462232843555,0.46939966666666666,0.005111308280013378,226464,451584,0.7864999999999999,75.4,3
dlinear,ETTh2,336,720,0.7006739999999999,0.026659054803199668,0.5939546666666667,0.011606454124035203,485280,967680,0.7656333333333333,81.9,3
dlinear,ETTm1,96,96,0.34370433333333333,0.0019052919286380687,0.37199566666666667,0.0028005446494089757,18624,36864,2.7965,69.5,3
dlinear,ETTm1,96,192,0.38108566666666666,0.0012174836070080624,0.39141966666666667,0.00028783733832380044,37248,73728,3.6660333333333335,70.4,3
dlinear,ETTm1,96,336,0.41285,0.0002759365869180729,0.41334133333333334,0.0009825387184906813,65184,129024,3.6904333333333335,71.7,3
dlinear,ETTm1,96,720,0.4743736666666667,0.003333516811617011,0.45341499999999996,0.004738957585798793,139680,276480,3.706566666666667,75.3,3
